355,0000000000000
354,0000000000001
357,0000000000010
356,0000000000011
351,0000000000100
350,0000000000101
353,0000000000110
352,0000000000111
364,0000000001000
363,0000000001001
370,0000000001010
368,0000000001011
359,0000000001100
358,0000000001101
362,0000000001110
360,0000000001111
338,0000000010000
336,0000000010001
340,0000000010010
339,0000000010011
332,0000000010100
329,0000000010101
335,0000000010110
334,0000000010111
346,0000000011000
345,0000000011001
348,0000000011010
347,0000000011011
342,0000000011100
341,0000000011101
344,0000000011110
343,0000000011111
399,0000000100000
398,0000000100001
401,0000000100010
400,0000000100011
393,0000000100100
391,0000000100101
397,0000000100110
396,0000000100111
407,0000000101000
406,0000000101001
410,0000000101010
408,0000000101011
403,0000000101100
402,0000000101101
405,0000000101110
404,0000000101111
379,0000000110000
378,0000000110001
381,0000000110010
380,0000000110011
372,0000000110100
371,0000000110101
375,0000000110110
373,0000000110111
387,0000000111000
386,0000000111001
390,0000000111010
389,0000000111011
383,0000000111100
382,0000000111101
385,0000000111110
384,0000000111111
270,0000001000000
268,0000001000001
272,0000001000010
271,0000001000011
264,0000001000100
261,0000001000101
266,0000001000110
265,0000001000111
281,0000001001000
280,0000001001001
283,0000001001010
282,0000001001011
276,0000001001100
273,0000001001101
278,0000001001110
277,0000001001111
242,0000001010000
241,0000001010001
245,0000001010010
243,0000001010011
238,0000001010100
235,0000001010101
240,0000001010110
239,0000001010111
257,0000001011000
255,0000001011001
259,0000001011010
258,0000001011011
250,0000001011100
246,0000001011101
252,0000001011110
251,0000001011111
317,0000001100000
316,0000001100001
319,0000001100010
318,0000001100011
309,0000001100100
308,0000001100101
314,0000001100110
312,0000001100111
326,0000001101000
325,0000001101001
328,0000001101010
327,0000001101011
322,0000001101100
321,0000001101101
324,0000001101110
323,0000001101111
291,0000001110000
290,0000001110001
293,0000001110010
292,0000001110011
285,0000001110100
284,0000001110101
289,0000001110110
288,0000001110111
299,0000001111000
298,0000001111001
307,0000001111010
303,0000001111011
295,0000001111100
294,0000001111101
297,0000001111110
296,0000001111111
533,0000010000000
532,0000010000001
536,0000010000010
535,0000010000011
526,0000010000100
525,0000010000101
531,0000010000110
530,0000010000111
550,0000010001000
548,0000010001001
552,0000010001010
551,0000010001011
544,0000010001100
543,0000010001101
547,0000010001110
545,0000010001111
508,0000010010000
507,0000010010001
510,0000010010010
509,0000010010011
504,0000010010100
503,0000010010101
506,0000010010110
505,0000010010111
516,0000010011000
515,0000010011001
524,0000010011010
520,0000010011011
512,0000010011100
511,0000010011101
514,0000010011110
513,0000010011111
585,0000010100000
584,0000010100001
587,0000010100010
586,0000010100011
581,0000010100100
579,0000010100101
583,0000010100110
582,0000010100111
596,0000010101000
595,0000010101001
599,0000010101010
597,0000010101011
592,0000010101100
591,0000010101101
594,0000010101110
593,0000010101111
558,0000010110000
557,0000010110001
564,0000010110010
561,0000010110011
554,0000010110100
553,0000010110101
556,0000010110110
555,0000010110111
573,0000010111000
572,0000010111001
578,0000010111010
577,0000010111011
566,0000010111100
565,0000010111101
568,0000010111110
567,0000010111111
446,0000011000000
444,0000011000001
451,0000011000010
450,0000011000011
439,0000011000100
438,0000011000101
442,0000011000110
441,0000011000111
457,0000011001000
456,0000011001001
459,0000011001010
458,0000011001011
453,0000011001100
452,0000011001101
455,0000011001110
454,0000011001111
418,0000011010000
416,0000011010001
422,0000011010010
419,0000011010011
412,0000011010100
411,0000011010101
414,0000011010110
413,0000011010111
432,0000011011000
431,0000011011001
437,0000011011010
433,0000011011011
425,0000011011100
424,0000011011101
430,0000011011110
428,0000011011111
483,0000011100000
482,0000011100001
485,0000011100010
484,0000011100011
478,0000011100100
477,0000011100101
480,0000011100110
479,0000011100111
494,0000011101000
493,0000011101001
499,0000011101010
495,0000011101011
